HWV Prop,Competitor,URL Structure
HH,Pea Soup Andersens,https://www.booking.com/hotel/us/bwpeasoup.html?label=estes-park-YYWQMm3oCPWpMtKem2HD9QS541209883352%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-361098459500%3Alp9030019%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOG86ZrjetTYr4&aid=1610724&ucfs=1&arphpl=1&checkin=2025-01-02&checkout=2025-01-03&dest_id=20011848&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=888069dd1aec0818&srepoch=1735830208&all_sr_blocks=5553605_393057350_2_0_0&highlighted_blocks=5553605_393057350_2_0_0&matching_block_id=5553605_393057350_2_0_0&sr_pri_blocks=5553605_393057350_2_0_0__13110&from=searchresults
HH,Motel 6,https://www.booking.com/hotel/us/motel-6-buellton-solvang-area.html?aid=1610724&label=estes-park-YYWQMm3oCPWpMtKem2HD9QS541209883352%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-361098459500%3Alp9030019%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOG86ZrjetTYr4&sid=f4938e52c9ad18b2aa9ab0bead33fd5d&all_sr_blocks=26732605_107652622_2_0_0&checkin=2025-01-02&checkout=2025-01-03&dest_id=20011848&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=4&highlighted_blocks=26732605_107652622_2_0_0&hpos=4&matching_block_id=26732605_107652622_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=26732605_107652622_2_0_0__6999&srepoch=1735830292&srpvid=888069dd1aec0818&type=total&ucfs=1&
HH,Quality Inn,https://www.booking.com/hotel/us/hotel-avenue-of-the-flags-buellton.html?aid=1610724&label=estes-park-YYWQMm3oCPWpMtKem2HD9QS541209883352%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-361098459500%3Alp9030019%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOG86ZrjetTYr4&sid=f4938e52c9ad18b2aa9ab0bead33fd5d&all_sr_blocks=48906102_190181747_2_1_0&checkin=2025-01-02&checkout=2025-01-03&dest_id=20011848&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=6&highlighted_blocks=48906102_190181747_2_1_0&hpos=6&matching_block_id=48906102_190181747_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=48906102_190181747_2_1_0__10900&srepoch=1735830323&srpvid=888069dd1aec0818&type=total&ucfs=1&
SWI,Motel 6,https://www.booking.com/hotel/us/motel-6-buellton-solvang-area.html?aid=1610724&label=estes-park-YYWQMm3oCPWpMtKem2HD9QS541209883352%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-361098459500%3Alp9030019%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOG86ZrjetTYr4&sid=f4938e52c9ad18b2aa9ab0bead33fd5d&all_sr_blocks=26732605_107652622_2_0_0&checkin=2025-01-02&checkout=2025-01-03&dest_id=20011848&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=4&highlighted_blocks=26732605_107652622_2_0_0&hpos=4&matching_block_id=26732605_107652622_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=26732605_107652622_2_0_0__6999&srepoch=1735830292&srpvid=888069dd1aec0818&type=total&ucfs=1&
SWI,Quality Inn,https://www.booking.com/hotel/us/hotel-avenue-of-the-flags-buellton.html?aid=1610724&label=estes-park-YYWQMm3oCPWpMtKem2HD9QS541209883352%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-361098459500%3Alp9030019%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOG86ZrjetTYr4&sid=f4938e52c9ad18b2aa9ab0bead33fd5d&all_sr_blocks=48906102_190181747_2_1_0&checkin=2025-01-02&checkout=2025-01-03&dest_id=20011848&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=6&highlighted_blocks=48906102_190181747_2_1_0&hpos=6&matching_block_id=48906102_190181747_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=48906102_190181747_2_1_0__10900&srepoch=1735830323&srpvid=888069dd1aec0818&type=total&ucfs=1&
SWI,Hampton Inn,https://www.booking.com/hotel/us/hampton-inn-suites-buellton-santa-ynez-valley-ca.html?aid=1610724&label=estes-park-YYWQMm3oCPWpMtKem2HD9QS541209883352%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-361098459500%3Alp9030019%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOG86ZrjetTYr4&sid=f4938e52c9ad18b2aa9ab0bead33fd5d&all_sr_blocks=219548011_266273182_4_1_0&checkin=2025-01-02&checkout=2025-01-03&dest_id=20011848&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=8&highlighted_blocks=219548011_266273182_4_1_0&hpos=8&matching_block_id=219548011_266273182_4_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=219548011_266273182_4_1_0__21100&srepoch=1735830454&srpvid=888069dd1aec0818&type=total&ucfs=1&
