Room Type,Guests,Price,Rating,Check-in Date,Report Date,HWV Property,Competitor
Queen Room - Non-Smoking,2,90,8.5,2025-01-19,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,110,8.5,2025-01-19,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,115,8.5,2025-01-19,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,120,8.5,2025-01-19,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-01-20,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-01-20,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-01-20,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-01-20,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-01-21,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-01-21,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-01-21,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-01-21,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-01-22,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-01-22,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-01-22,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-01-22,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,90,8.5,2025-01-23,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,110,8.5,2025-01-23,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,115,8.5,2025-01-23,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,120,8.5,2025-01-23,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,95,8.5,2025-01-24,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,115,8.5,2025-01-24,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,120,8.5,2025-01-24,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,125,8.5,2025-01-24,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,90,8.5,2025-01-25,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,110,8.5,2025-01-25,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,115,8.5,2025-01-25,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,120,8.5,2025-01-25,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-01-26,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-01-26,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-01-26,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-01-26,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-01-27,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-01-27,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-01-27,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-01-27,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-01-28,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-01-28,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-01-28,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-01-28,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-01-29,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-01-29,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-01-29,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-01-29,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-01-30,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-01-30,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-01-30,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-01-30,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,95,8.5,2025-01-31,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,115,8.5,2025-01-31,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,120,8.5,2025-01-31,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,125,8.5,2025-01-31,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,90,8.5,2025-02-01,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,110,8.5,2025-02-01,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,115,8.5,2025-02-01,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,120,8.5,2025-02-01,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-02,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-02,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-02,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-02,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-03,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-03,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-03,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-03,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-04,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-04,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-04,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-04,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-05,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-05,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-05,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-05,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-06,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-06,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-06,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-06,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,90,8.5,2025-02-07,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,110,8.5,2025-02-07,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,115,8.5,2025-02-07,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,120,8.5,2025-02-07,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
