Room Type,Guests,Price,Rating,Check-in Date,Report Date,HWV Property,Competitor
Tweedledee,2,329,9.2,2025-01-14,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledum,2,382,9.2,2025-01-14,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mobberly Bedroom,4,453,9.2,2025-01-14,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Prestbury Bedroom,4,453,9.2,2025-01-14,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Woodford Bedroom,4,453,9.2,2025-01-14,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mock Turtle,2,247,9.2,2025-01-15,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Duchess,2,259,9.2,2025-01-15,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mad Hatter,2,286,9.2,2025-01-15,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Jean’s,2,286,9.2,2025-01-15,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Caterpillar Balcony Room,2,315,9.2,2025-01-15,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Eberle Room,2,315,9.2,2025-01-15,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Cheshire Cat,2,315,9.2,2025-01-15,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Queen of Hearts,2,318,9.2,2025-01-15,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Alice’s Balcony Room,2,326,9.2,2025-01-15,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
White Rabbit Balcony Room,2,326,9.2,2025-01-15,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledee,2,329,9.2,2025-01-15,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledum,2,382,9.2,2025-01-15,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Woodford Bedroom,4,453,9.2,2025-01-15,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mobberly Bedroom,4,453,9.2,2025-01-15,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mock Turtle,2,247,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Dormouse,2,247,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Duchess,2,259,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mad Hatter,2,286,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Jean’s,2,286,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Caterpillar Balcony Room,2,315,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Eberle Room,2,315,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Cheshire Cat,2,315,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Queen of Hearts,2,318,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
White Rabbit Balcony Room,2,326,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Alice’s Balcony Room,2,326,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledee,2,329,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledum,2,382,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mobberly Bedroom,4,453,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Bramhall Bedroom,4,453,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Woodford Bedroom,4,453,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Prestbury Bedroom,4,453,9.2,2025-01-16,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Dormouse,2,322,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mock Turtle,2,322,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Duchess,2,339,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mad Hatter,2,375,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Jean’s,2,375,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Caterpillar Balcony Room,2,410,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Eberle Room,2,410,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Cheshire Cat,2,410,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Queen of Hearts,2,415,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Alice’s Balcony Room,2,426,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
White Rabbit Balcony Room,2,426,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledee,2,430,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledum,2,499,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Bramhall Bedroom,4,592,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Woodford Bedroom,4,592,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mobberly Bedroom,4,592,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Prestbury Bedroom,4,592,9.2,2025-01-17,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
March Hare,2,290,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Dormouse,2,290,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mock Turtle,2,290,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Duchess,2,305,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mad Hatter,2,337,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Jean’s,2,337,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Caterpillar Balcony Room,2,370,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Cheshire Cat,2,370,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Eberle Room,2,370,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Queen of Hearts,2,374,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Alice’s Balcony Room,2,383,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
White Rabbit Balcony Room,2,383,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledee,2,387,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledum,2,449,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Bramhall Bedroom,4,533,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mobberly Bedroom,4,533,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Prestbury Bedroom,4,533,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Woodford Bedroom,4,533,9.2,2025-01-19,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Dormouse,2,247,9.2,2025-01-20,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mock Turtle,2,247,9.2,2025-01-20,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mad Hatter,2,286,9.2,2025-01-20,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Jean’s,2,286,9.2,2025-01-20,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Eberle Room,2,315,9.2,2025-01-20,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Queen of Hearts,2,318,9.2,2025-01-20,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Alice’s Balcony Room,2,326,9.2,2025-01-20,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
White Rabbit Balcony Room,2,326,9.2,2025-01-20,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledee,2,329,9.2,2025-01-20,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledum,2,382,9.2,2025-01-20,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Bramhall Bedroom,4,453,9.2,2025-01-20,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mobberly Bedroom,4,453,9.2,2025-01-20,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Prestbury Bedroom,4,453,9.2,2025-01-20,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Woodford Bedroom,4,453,9.2,2025-01-20,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mock Turtle,2,247,9.2,2025-01-21,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
